model,terrain,count,psnr,ssim,mae,lpips
ablation_final_full,agri,64,14.312191263223875,0.26371193036902696,0.16413893830031157,nan
ablation_final_full,barrenland,14,10.57812271598098,0.1535983963736466,0.2654111236333847,nan
ablation_final_full,grassland,32,14.39816421878065,0.2511381460353732,0.17248173290863633,nan
ablation_final_full,urban,90,13.76564438196713,0.1127129190084007,0.16435042983955808,nan
ablation_final_no_attention,agri,64,14.360627269643775,0.27490904415026307,0.16248098586220294,nan
ablation_final_no_attention,barrenland,14,10.344696502262456,0.15441189387014934,0.2737698863659586,nan
ablation_final_no_attention,grassland,32,14.909421440175837,0.2649365342222154,0.16194464755244553,nan
ablation_final_no_attention,urban,90,13.860565745866781,0.11678783347209294,0.16161015406250953,nan
ablation_final_no_feature_matching,agri,64,14.32037310044521,0.26637584797572345,0.16380791657138616,nan
ablation_final_no_feature_matching,barrenland,14,10.54887055932861,0.15336775832942554,0.26614284621817724,nan
ablation_final_no_feature_matching,grassland,32,14.390542768208409,0.253516286611557,0.17264763242565095,nan
ablation_final_no_feature_matching,urban,90,13.75168380919095,0.11338999354177051,0.16471980892949634,nan
ablation_final_no_gradient,agri,64,14.26426376219787,0.24980685021728277,0.1647528330795467,nan
ablation_final_no_gradient,barrenland,14,10.559545280729852,0.14914232705320632,0.2660829190696989,nan
ablation_final_no_gradient,grassland,32,14.481205938813812,0.2404600246809423,0.17052945867180824,nan
ablation_final_no_gradient,urban,90,13.791617690801443,0.10884093621538746,0.16361891387237443,nan
ablation_final_no_perceptual,agri,64,14.065515269350552,0.23792453727219254,0.16612875065766275,nan
ablation_final_no_perceptual,barrenland,14,10.445694185775205,0.13623029898319924,0.2670462110212871,nan
ablation_final_no_perceptual,grassland,32,14.435617592972633,0.2200167691335082,0.1668175144586712,nan
ablation_final_no_perceptual,urban,90,13.430267336403611,0.09539226881331868,0.16988280440370243,nan
